scenario,cps,cps_name,pid,impacted_pids,linear_length_m,buffer_area_ha,portion_treated,wetland_area_ha,catchment_to_wetland_ratio,cost_usd,treated_TN,removed_TN,treated_TP,removed_TP
2,329,Residue Management (No-Till),986,,,,,,,575.3709517145445,444.08698729049604,161.0711563068441,27.00084408421494,5.207739943966241
2,590,Nutrient Management,1607,,,,,,,1456.2218676461964,541.8371925296931,217.67669742276513,116.55139542107013,13.39531640816451
2,412,Grassed Waterway,136,,189.9365116894648,0.20262427067032107,0.2522131008479981,,,17.03937748018119,49.77549306848395,9.385901587092432,0.11823581663124753,0.012240178555601992
2,590,Nutrient Management,2526,,,,,,,2491.6224398089926,89.04670669561014,11.716750693402723,137.58606987286223,49.03642794786176
2,412,Grassed Waterway,2414,,493.9509105715173,0.5269468313976947,0.3531814310825656,,,39.48515923028286,255.97318173922469,50.46996229357418,17.298034842942418,1.1531694070108693
2,412,Grassed Waterway,1863,,196.49568263754688,0.20962159423773502,0.2941103578610459,,,22.977670885264157,20.514678208735802,1.244357747910834,1.0477836458036422,0.05850464668997836
2,412,Grassed Waterway,2090,,537.2055927007696,0.573090926293181,0.23698045327101647,,,53.37491764099186,386.2680658866606,72.0277245163679,9.98400081049737,1.1808690873514622
2,590,Nutrient Management,1548,,,,,,,1669.1640407075568,326.99379392435554,29.13773027169347,12.10055731054314,0.8523911357437962
2,412,Grassed Waterway,1132,,534.0324354015613,0.5697058020863857,0.3179841594757151,,,28.085870890047076,385.4003771265428,105.49018925064644,37.95542230963481,4.940713530693391
2,329,Residue Management (No-Till),492,,,,,,,753.1598852334328,477.47771861500655,183.9538894452881,5.914251998963207,1.1232264495383557
2,590,Nutrient Management,1537,,,,,,,1520.600776179607,1337.4740399187679,634.0201614624043,30.203689569959884,13.140646889725955
2,329,Residue Management (No-Till),87,,,,,,,4169.93962654295,835.9596324271497,109.21705962051985,14.676546167053175,1.0805036047736312
2,329,Residue Management (No-Till),154,,,,,,,1594.9251819419137,250.387789093522,69.88945799942174,26.90290430972737,3.5225997884876
2,590,Nutrient Management,1446,,,,,,,611.8329779203831,99.27592983651394,48.75828032148825,7.5178276819336,0.8379178622295896
2,590,Nutrient Management,499,,,,,,,608.4628712938445,278.8029698312842,80.76906243937972,148.8644519026795,11.597304104957514
2,590,Nutrient Management,681,,,,,,,518.0856368342821,15.931023779959975,3.202002744617818,0.6648567512646617,0.19207608594631628
2,329,Residue Management (No-Till),708,,,,,,,463.45357557739464,19.865191268471,1.278860668355862,5.146510155709986,0.9060946535690432
2,590,Nutrient Management,1126,,,,,,,83.8131279298024,19.530992742800763,2.040658004899506,4.7537938604239125,0.6368788708504537
2,412,Grassed Waterway,1650,,306.0406010418628,0.32648411319145926,0.3157168697779914,,,39.501828161258864,277.81425973233974,50.658510658012055,1.0786945974936837,0.06964278164273689
2,590,Nutrient Management,1865,,,,,,,171.49954485224865,180.99638842539485,66.84621785270382,3.614664369448268,0.7309616518878753
