scenario,cps,cps_name,pid,impacted_pids,linear_length_m,buffer_area_ha,portion_treated,wetland_area_ha,catchment_to_wetland_ratio,failed,cost_usd,treated_TN,removed_TN,treated_TP,removed_TP
5,590,Nutrient Management,2128,,,,,,,False,4350.448036621458,647.2794272690667,213.31334748378114,68.32521843859892,20.54596250895155
5,329,Residue Management (No-Till),1722,,,,,,,False,460.53069192158233,498.4750112877851,43.80452182418333,4.50175614872581,0.6678125605302061
5,590,Nutrient Management,2342,,,,,,,False,1591.8777704255037,310.21309395232754,80.48516221963322,18.95987390970713,4.750984684756397
5,340,Cover Crop,2443,,,,,,,False,1150.8334261001025,521.2761613555411,211.70454866800426,16.454297905890883,2.501099882194834
5,590,Nutrient Management,166,,,,,,,False,1842.9324385981647,1185.777147385997,510.1027264544029,13.084039805341877,2.7701636039443502
5,329,Residue Management (No-Till),1789,,,,,,,False,38.404465688754065,32.598967412422915,3.373211893195674,0.16306069649258673,0.02401958594486818
5,590,Nutrient Management,284,,,,,,,False,548.8124236652098,101.14866536927771,41.50817646718934,22.35739312709717,4.925560379296931
5,329,Residue Management (No-Till),589,,,,,,,False,357.9450152408275,368.56805438951613,24.93515502358759,6.69166711360254,1.1579519754902756
5,329,Residue Management (No-Till),522,,,,,,,False,2986.4287204295524,1159.6296765749107,100.88985346757848,127.77555298001958,21.740696928320315
5,329,Residue Management (No-Till),1386,,,,,,,True,192.28710250629575,311.53217632133317,7.926432321288906,2.038136773789285,0.11629149232299206
5,329,Residue Management (No-Till),2355,,,,,,,False,29.12732922310796,25.152660232888604,2.2189424980826864,0.668689853333648,0.14221034211411265
5,590,Nutrient Management,2383,,,,,,,False,612.9032400701318,225.96066341307966,70.46379546877903,2.1921964193667685,0.7565986189970444
5,590,Nutrient Management,826,,,,,,,False,934.917859572797,625.7273414248962,236.8960211250433,347.0553043665845,115.29533538664016
5,590,Nutrient Management,1142,,,,,,,True,232.53886601083164,377.9121258698822,33.58672539299694,3.774578674442579,0.17262091415828898
5,329,Residue Management (No-Till),1771,,,,,,,False,612.5764999858416,88.68230955476295,6.934829503285063,173.73971057417114,28.272130449289723
5,329,Residue Management (No-Till),1038,,,,,,,False,833.5793187696675,530.6470025774288,36.800248625445654,3.655774498840932,0.7207692509816007
5,329,Residue Management (No-Till),1265,,,,,,,False,933.218561394856,1292.0278890064562,70.68398042035608,106.72440412563803,13.938109400824246
5,329,Residue Management (No-Till),767,,,,,,,False,26.997278272255926,83.22205494692106,6.821534498913182,0.46909492663267766,0.07546412348139878
5,329,Residue Management (No-Till),1051,,,,,,,False,395.2444377866129,51.13591803793646,2.232915337501452,10.459667649826347,1.7114648696818013
5,329,Residue Management (No-Till),388,,,,,,,True,221.88675788466327,335.3791738840123,7.570804677880276,4.126238184660704,0.1714977869616315
5,340,Cover Crop,747,,,,,,,True,774.7041369748941,144.64133696449213,15.592285783490313,2.1879910287381015,0.12583623456583692
5,329,Residue Management (No-Till),1206,,,,,,,False,118.55959299638108,45.142717876395935,3.059232768726754,58.111193056958534,8.131392216945594
5,590,Nutrient Management,185,,,,,,,False,1639.9738885547806,333.94614792633206,103.85747762886751,63.41687822140609,25.225823586230568
5,340,Cover Crop,2281,,,,,,,False,9727.533500204632,2439.6145765856304,750.7563942920418,73.2346915555937,9.553315043266204
5,329,Residue Management (No-Till),506,,,,,,,False,1709.3994849878427,821.5629422790173,61.22685362375687,14.752562281318378,3.2923660939076873
5,329,Residue Management (No-Till),1978,,,,,,,False,1940.116060857575,1860.7516995304613,133.4423652765041,60.57770798963662,10.920841773781717
5,590,Nutrient Management,1978,,,,,,,False,4083.5452129243386,1727.309334253957,626.9637118113701,49.65686621585491,15.279648482416047
5,590,Nutrient Management,2296,,,,,,,False,575.6579882903981,306.3848999883427,99.44040807270697,20.349691604579036,4.808325554186197
5,329,Residue Management (No-Till),499,,,,,,,False,363.957731921339,170.58116974384845,10.379309763588527,50.350652895716934,7.372255544107636
5,340,Cover Crop,1347,,,,,,,True,2258.482086471955,659.5972260569469,52.31313120963731,59.98221489487618,3.6989129132960934
5,340,Cover Crop,1672,,,,,,,False,1815.5728527004799,1155.0481270083053,417.88480440840397,15.119397017627705,3.542354860652085
5,590,Nutrient Management,1090,,,,,,,False,2757.768755794795,1908.498443951802,699.2979011212389,153.72949630699665,43.479931326835
5,329,Residue Management (No-Till),1963,,,,,,,False,487.13513911977174,353.31407841130965,30.183299823329218,10.125491910238948,1.4820927577920548
5,329,Residue Management (No-Till),2180,,,,,,,False,1017.8361359880493,382.119570061375,39.83738834236765,57.135788938595326,10.697254873675584
5,329,Residue Management (No-Till),959,,,,,,,False,2306.93086417581,1638.1268027489084,116.68409294048725,435.1835265872347,71.45349916972725
5,590,Nutrient Management,811,,,,,,,False,3413.5647151874578,1853.9844810083732,761.7871915693019,13.642264620531737,3.3499856942778634
5,329,Residue Management (No-Till),1294,,,,,,,True,509.44268940643434,291.5933575447839,6.563091800865247,43.29220586492148,1.770393362818568
5,590,Nutrient Management,2190,,,,,,,True,1404.668953017688,841.8863255562021,79.923002816274,6.309625887277002,0.4277836298128089
5,590,Nutrient Management,1317,,,,,,,True,379.1584761629376,104.42433657355433,10.896308536734752,48.21380783011835,3.8440735175900556
5,590,Nutrient Management,734,,,,,,,False,766.4924517728921,369.34290504563256,162.82278880864996,27.514265436807243,9.405503619582253
5,590,Nutrient Management,2186,,,,,,,False,1281.9776703798898,1699.2069319787945,497.9948579560257,138.98337302299788,29.078695515205858
5,340,Cover Crop,831,,,,,,,True,675.322294320009,3.746676808117914,0.37722502385861983,10.883157248389,0.5476633661188137
5,329,Residue Management (No-Till),317,,,,,,,False,563.8982108583276,27.912951634299823,2.9807301207398997,6.052392905169,0.9557659937459275
5,329,Residue Management (No-Till),1845,,,,,,,False,1357.7463940444115,405.1062959881994,36.21622519999187,256.5386377759356,58.183866430192346
5,329,Residue Management (No-Till),2299,,,,,,,False,341.5681620614849,19.0833922781178,2.2209957466156576,13.8201807205147,2.8432562749759307
5,329,Residue Management (No-Till),2054,,,,,,,False,2864.978340003941,3048.914077202014,343.57104117868545,62.20946608164096,8.88044151766678
