scenario,cps,pid,impacted_pids,efficiency_json,linear_length_m,buffer_area_ha,portion_treated,wetland_area_ha,catchment_to_wetland_ratio,cost_usd,treated_TN,removed_TN,treated_TP,removed_TP
1,590,382,,"{""TN"":0.4306988888627005,""TP"":0.47109946921848134}",,,,,,516.4097965164594,199.8969117649983,86.09537778427006,11.2844607620989,5.3161034754415715
1,590,2103,,"{""TN"":0.14470907175145795,""TP"":0.09360131336814267}",,,,,,781.2267702488476,152.36948366961266,22.049246545078578,1.8175668027055227,0.1701266398675728
1,329,82,,"{""TN"":0.2901273645090253,""TP"":0.309073605181789}",,,,,,811.3806515432765,754.6922731495548,218.9568802242058,41.18799833957616,12.730123137034344
1,340,1935,,"{""TN"":0.3974229534510095,""TP"":0.11573500222539038}",,,,,,1126.3354807940727,343.7056147904229,136.59650054770484,43.21416700063736,5.001391713987156
1,340,2101,,"{""TN"":0.12139594628978084,""TP"":0.36746224324062016}",,,,,,126.62239805695313,165.97451963987285,20.148633871674182,23.28143366477276,8.55504784031509
1,329,512,,"{""TN"":0.45810915724686235,""TP"":0.2371267009358063}",,,,,,662.9788249898679,208.13153788255403,95.34696341587023,7.87206071159225,1.866675786106246
1,329,2624,,"{""TN"":0.18012049210624465,""TP"":0.17349329506631708}",,,,,,211.08928588989033,1216.862310057837,219.18183811315924,46.027666364761195,7.985491501835512
1,329,874,,"{""TN"":0.062250679202564344,""TP"":0.30909003538779134}",,,,,,404.6653540784739,395.5304934784426,24.6220418643585,53.28611590226067,16.4702074499077
1,340,1031,,"{""TN"":0.2316506264434819,""TP"":0.3376102669712838}",,,,,,1654.69665782738,1486.8927914903018,344.4396466030259,55.539861003220146,18.75082730084515
1,340,439,,"{""TN"":0.39086775111534355,""TP"":0.13029462051795576}",,,,,,769.2638149458703,593.3343326603176,231.91525626646148,13.703977158402962,1.7855545034408478
1,340,888,,"{""TN"":0.3363851357764586,""TP"":0.190563508842562}",,,,,,1703.2569145325988,695.617629739468,233.99543082840927,159.28402257667784,30.353722244769596
1,340,2574,,"{""TN"":0.15602209293592745,""TP"":0.16543839049871223}",,,,,,401.04831933216025,74.28212704325395,11.589652929020938,10.788422875519096,1.784819316545368
1,340,2106,,"{""TN"":0.4594832308016448,""TP"":0.2875936761218067}",,,,,,361.7679814899584,388.23065585676284,178.3854760493069,19.31950738850495,5.556168150722543
1,590,2192,,"{""TN"":0.26060033056140686,""TP"":0.15719269486315246}",,,,,,573.2697741373902,435.2235366289528,113.41939751360967,49.50396674075422,7.781661938395026
1,329,1765,,"{""TN"":0.33900367008067356,""TP"":0.07755440482400888}",,,,,,675.0917828399823,120.79138132276871,40.94872158253272,5.07881831906387,0.39388473194427165
1,590,548,,"{""TN"":0.09666373998118039,""TP"":0.08874925883071935}",,,,,,3334.4515029709305,508.7030910221071,49.1731433181837,177.41172915395626,15.745159470289943
1,590,2195,,"{""TN"":0.4763182783428228,""TP"":0.13116188860562483}",,,,,,647.0634272939534,59.47052289158484,28.326897075867123,3.7633091486556167,0.49360273534449683
1,329,944,,"{""TN"":0.18368000891039865,""TP"":0.05175500680208217}",,,,,,6696.6223197225445,8005.758418301402,1470.4977776081007,165.39417875922288,8.559976846708375
1,340,2005,,"{""TN"":0.4589935171358224,""TP"":0.2182397236511023}",,,,,,676.6010780423647,212.6934774494378,97.62492728636619,71.1480656079555,15.527334176590704
1,340,1732,,"{""TN"":0.06906000448860093,""TP"":0.31118914545154536}",,,,,,631.2975947000241,441.7279952076851,30.505737331783426,41.18547529497171,12.81647286205798
1,590,285,,"{""TN"":0.06656066996242135,""TP"":0.3858615074287728}",,,,,,830.2241131359779,398.2428296640182,26.5073095501675,6.088127230924653,2.3491739507427467
1,329,380,,"{""TN"":0.07898764729068271,""TP"":0.2795427318715923}",,,,,,358.1552930366697,968.6279525152667,76.50964306917204,23.494381685612243,6.567683640029951
1,340,2533,,"{""TN"":0.30973679356918704,""TP"":0.08848742731313303}",,,,,,356.33681081534866,872.2236548153026,270.1597581176892,13.304484851749788,1.1772796362578888
1,329,1209,,"{""TN"":0.49931794423500975,""TP"":0.05777786842728325}",,,,,,276.98203336055275,921.6030088121731,460.1729197608939,16.530874807662393,0.955118709625009
1,329,940,,"{""TN"":0.43030234165917897,""TP"":0.44754952861838115}",,,,,,875.7587516439048,144.0700262549323,61.993669660396755,9.556209147251291,4.276876899230977
1,329,384,,"{""TN"":0.34753109737701393,""TP"":0.14378332033527244}",,,,,,266.26533106199895,148.28090799422228,51.53222667529211,13.092248666031642,1.8824469838570708
1,329,636,,"{""TN"":0.4162577896090903,""TP"":0.12515271082669854}",,,,,,1732.7687313524414,754.3328114757707,313.99690873451493,130.68224204006253,16.355236848224575
1,340,822,,"{""TN"":0.12647027114077114,""TP"":0.10136148267302773}",,,,,,1196.7931425910244,547.8814522864611,69.29071582366821,90.12947260327397,9.135656975605881
1,329,303,,"{""TN"":0.4249394423338968,""TP"":0.15875566454112072}",,,,,,193.30578907098362,392.12365364522833,166.6288067059334,2.5634107175572933,0.4069559719576392
1,590,1073,,"{""TN"":0.25489260444775735,""TP"":0.08034296399828095}",,,,,,3184.1344899163205,850.5466260999914,216.79804473087967,29.755066109305268,2.3906102051863827
1,329,1255,,"{""TN"":0.08304817881599699,""TP"":0.4886671613721649}",,,,,,32.197320408669285,224.260510513934,18.624426978527964,0.1682830114573197,0.08223438151600793
1,340,517,,"{""TN"":0.24211582321936287,""TP"":0.18310087234481015}",,,,,,275.10284293586363,222.7172023247716,53.92335878597547,1.3611753680188776,0.24923239729852448
1,329,1152,,"{""TN"":0.13451015944958905,""TP"":0.4491474656182282}",,,,,,745.8219372177881,794.8747882369842,106.91873450821507,75.9693753653928,34.12145240996604
1,590,532,,"{""TN"":0.3863363660709076,""TP"":0.1529412874530397}",,,,,,15522.955147129094,2563.659032385552,990.4347144166934,29.50455539273497,4.512464687494412
1,329,1391,,"{""TN"":0.4037669537235286,""TP"":0.35129904011866425}",,,,,,172.67979336332158,102.71500190565797,41.47292342115396,19.85792186657047,6.97606889047764
1,329,1627,,"{""TN"":0.050315591768116445,""TP"":0.47708944484016763}",,,,,,1127.802412972528,809.8067147807778,40.74590407198913,14.27685572656422,6.811337172649692
1,329,1605,,"{""TN"":0.2303848764916417,""TP"":0.13701435343207807}",,,,,,854.8207884571668,332.72209160580013,76.65413798064296,2.7631428370309017,0.37859022925626684
