scenario,cps,pid,impacted_pids,efficiency_json,linear_length_m,buffer_area_ha,portion_treated,wetland_area_ha,catchment_to_wetland_ratio,cost_usd,treated_TN,removed_TN,treated_TP,removed_TP
2,329,1737,,"{""TN"":0.0661919695056486,""TP"":0.4619256094227034}",,,,,,1066.219024387659,490.62764044479997,32.47560981495052,36.29208825864267,16.764244986096053
2,329,1205,,"{""TN"":0.15950838747154075,""TP"":0.30475274637080585}",,,,,,143.0756678251594,228.03543301132797,36.37356420601148,24.227326597597425,7.383344317840287
2,340,2342,,"{""TN"":0.4998282050628905,""TP"":0.27684957750603256}",,,,,,397.8255493949842,576.5656201155665,288.183759003336,131.8012988604403,36.48913390425923
2,329,1508,,"{""TN"":0.47182593387574023,""TP"":0.3532826028691309}",,,,,,1179.8232620081815,1253.8635585648858,591.6053444726361,160.50359594612692,56.703128145703005
2,656,1153,,"{""TN"":0.3004304509764565,""TP"":0.20835784543474456}",,,,1.4889296163241692,4.497864526951928,26259.60462454703,796.3031810630168,239.23372380074903,5.789859284468466,1.2063626058822015
2,329,2274,,"{""TN"":0.24939883407908636,""TP"":0.19320694845295416}",,,,,,759.6043472139258,385.81480227553976,96.22176185797285,17.89666899709156,3.457760804400652
2,590,1113,,"{""TN"":0.14811342834644,""TP"":0.31557502782857927}",,,,,,2060.125492111979,1918.529051753674,284.1599152374813,276.28421184947797,87.1883978429961
2,329,2062,,"{""TN"":0.32380340177046374,""TP"":0.1120954443829921}",,,,,,147.6528319032599,304.5074417882088,98.60054551544347,26.761367481795283,2.9998273801683966
2,590,2122,,"{""TN"":0.056879281674679254,""TP"":0.4686770083219842}",,,,,,544.3752436925515,226.3607622900085,12.875237558388507,20.421926972863687,9.571287637811789
2,590,2428,,"{""TN"":0.4403921166852274,""TP"":0.4000253798702412}",,,,,,3689.994049680048,282.64006037638194,124.47245444919531,74.19942971353579,29.68165505731242
2,340,1687,,"{""TN"":0.16686893921989626,""TP"":0.3511275491714487}",,,,,,1568.3296473926353,1782.3444041243342,297.41792004074574,35.170871758507744,12.349462002788146
2,340,2493,,"{""TN"":0.4255848429077662,""TP"":0.19511718345157636}",,,,,,461.89950224721116,183.2841125947797,78.00294026613867,7.501320500795543,1.4636365282827946
2,329,2570,,"{""TN"":0.31796272455074215,""TP"":0.11801528102280555}",,,,,,380.8691478885649,234.53253184554734,74.57260282139393,22.76075144921718,2.6861164785695943
2,340,2199,,"{""TN"":0.05724222874120696,""TP"":0.17936157553394738}",,,,,,1078.7004181946418,3512.697973608527,201.07466090407348,58.12281746250547,10.42500011454701
2,340,2195,,"{""TN"":0.4662156755279163,""TP"":0.4830853766461335}",,,,,,459.488897019993,181.77492933387663,84.74632147343254,4.998470947522689,2.414688220338754
2,340,1608,,"{""TN"":0.3843550488998215,""TP"":0.3209572287248086}",,,,,,2265.5540068686237,843.2072667098956,324.0909702289668,68.87800961483347,22.106895086057673
2,340,1012,,"{""TN"":0.4990317973033678,""TP"":0.4029581836633253}",,,,,,240.3941743657058,210.95803220540705,105.27476596704602,27.29365354868538,10.998201059514335
2,340,1946,,"{""TN"":0.2346854347301483,""TP"":0.15885147230048854}",,,,,,579.511815561418,394.7239076000445,92.63595185349934,6.613406360976384,1.0505493373625148
2,340,656,,"{""TN"":0.18640059915684537,""TP"":0.12444351064333269}",,,,,,2124.777728009574,896.0071476078731,167.01626916292352,99.59902430835528,12.394452241582362
2,329,1548,,"{""TN"":0.3062873904096908,""TP"":0.12259678193135702}",,,,,,220.32925231034977,2276.12293292367,697.1477533768425,8.271218348087409,1.014024752127111
2,590,2233,,"{""TN"":0.48733371183996294,""TP"":0.47582693434171264}",,,,,,780.9757964925452,1477.1232959959086,719.8519786829664,36.53875466752912,17.386123618114325
2,329,2398,,"{""TN"":0.37240138383502575,""TP"":0.4732007253540307}",,,,,,556.3714108856531,533.9331153656374,198.83743103750982,174.4289181657842,82.53989059876795
2,329,1115,,"{""TN"":0.13746282625619677,""TP"":0.16011905729414827}",,,,,,76.19980230386884,40.584438921567816,5.578851676180706,0.5436988221779363,0.08705654285906991
2,340,1881,,"{""TN"":0.32692107714965013,""TP"":0.16381863981199762}",,,,,,1230.8588427019595,277.9356822666742,90.86303262494404,36.67656585211032,6.008305130867872
2,329,993,,"{""TN"":0.33788233705552684,""TP"":0.3386783903722994}",,,,,,1055.7520953229673,2704.284094287688,913.7298298400127,74.27210196276062,25.154355942315064
2,329,1049,,"{""TN"":0.1216134894341248,""TP"":0.1932285261259597}",,,,,,410.7798648808204,161.52680584850975,19.64383849638567,62.11702867148206,12.00278189751446
2,590,1841,,"{""TN"":0.14143059096193727,""TP"":0.4071715487869758}",,,,,,97.06041779021717,70.89116662067146,10.026179589142727,0.9158802447060388,0.3729203777403522
