scenario,pid,baseline_TN,final_TN,baseline_TP,final_TP
3,2679,3.7692584632572146,3.5478031186743157,0.08493405041110702,0.05647820879174367
3,2681,9.77960220311383,9.77960220311383,1.9511999171127918,1.9511999171127918
3,2678,49.619875840938775,49.619875840938775,12.785206438306666,12.785206438306666
3,2676,11.516897032886849,11.516897032886849,0.6714780662292432,0.6714780662292432
3,2669,4.328022964353204,4.328022964353204,18.466603363323124,18.466603363323124
3,2672,46.18301584221461,46.18301584221461,1.2459995617320767,1.2459995617320767
3,2666,29.533921318146728,29.533921318146728,1.7227859970650248,1.7227859970650248
3,2660,15.174430125726012,15.174430125726012,0.47078138858683916,0.47078138858683916
3,2664,16.87902866488528,16.87902866488528,0.5943070995922998,0.5943070995922998
3,2661,28.45168539186166,28.45168539186166,0.7629678563515994,0.7629678563515994
3,2680,38.73668749694057,30.468137964721738,1.761990183427842,1.2497973214483038
3,2673,26.935825924842838,24.343180186060792,13.18112739249451,7.569168944479123
3,2671,17.89638141521285,17.89638141521285,2.2198350700315093,2.2198350700315093
3,2667,0.004050162194291218,0.0037024429330884674,2.911080801485431,1.4864910730164205
3,2662,25.152635741005668,20.58705986800806,0.5167699145689194,0.4499839345706499
3,2655,0.12084451428937548,0.12084451428937548,2.7072189552255255,2.7072189552255255
3,2652,34.762042213034434,34.762042213034434,2.4247683920610554,2.4247683920610554
3,2649,22.498192924818447,22.498192924818447,2.247221815235651,2.247221815235651
3,2645,29.280087406363613,29.280087406363613,0.5777900892225373,0.5777900892225373
3,2648,26.126082488105716,26.126082488105716,1.3992310034084872,1.3992310034084872
3,2668,54.72457764667474,54.72457764667474,1.1137692634780607,1.1137692634780607
3,2658,22.44341743065108,19.77466536674682,17.81662597847429,15.55035479529723
3,2657,68.89277457178662,68.89277457178662,0.5845719800874835,0.5845719800874835
3,2654,78.2344757349337,78.2344757349337,0.37593331269206554,0.37593331269206554
3,2656,60.67821174800008,60.67821174800008,0.4666467534600346,0.4666467534600346
3,2650,22.024133955934563,22.024133955934563,17.749028377567534,17.749028377567534
3,2646,7.763914924178428,7.763914924178428,4.795756399360107,4.795756399360107
3,2647,24.789357981106384,24.789357981106384,0.3219827315502207,0.3219827315502207
3,2643,111.99310328400225,111.99310328400225,1.6347733033467362,1.6347733033467362
3,2637,66.12820438486709,66.12820438486709,5.382138839735015,5.382138839735015
3,2659,1.1707666352558288,1.1707666352558288,0.6415539699843404,0.6415539699843404
3,2653,18.4768631845261,18.4768631845261,1.5370755096822348,1.5370755096822348
3,2651,5.749280787286457,2.608848955528915,0.9891073153231318,0.5451108855525182
3,2642,52.92762472461934,33.95716756477043,0.44638223001453314,0.311362393637332
3,2640,37.07658847458296,37.07658847458296,1.1889223462843665,1.1889223462843665
3,2639,5.656409511718783,5.656409511718783,0.45474813125790947,0.45474813125790947
3,2636,9.914767480913214,9.914767480913214,2.1140813549675217,2.1140813549675217
3,2633,6.985951910625738,3.4090161467934617,4.460935615549858,2.894823658341464
3,2626,51.3318261873794,51.3318261873794,0.2401859913623473,0.2401859913623473
3,2628,67.63943954603668,67.63943954603668,14.282515594667824,14.282515594667824
3,2644,3.477447854499607,3.477447854499607,13.046139539156432,13.046139539156432
3,2641,16.178486775587434,16.178486775587434,2.4203811974616958,2.4203811974616958
3,2638,11.491401491058447,11.491401491058447,4.349116992092063,4.349116992092063
3,2634,58.38266831208479,58.38266831208479,16.967796727509338,16.967796727509338
3,2635,144.02676973666615,144.02676973666615,0.22757312332808421,0.22757312332808421
3,2632,34.47781607668447,34.47781607668447,0.6645292960264187,0.6645292960264187
3,2631,9.193629996120109,9.193629996120109,0.3975908374301961,0.3975908374301961
3,2627,99.14979114272418,57.04136942270178,2.5488148207483468,2.129734527366643
3,2630,4.03687607752329,3.381664198509368,17.79221094045297,11.118892967282871
3,2623,51.56244727214295,51.56244727214295,0.7657020558220301,0.7657020558220301
3,2625,23.83466774422802,23.83466774422802,2.840716658573887,2.840716658573887
3,2629,35.56192515036678,35.56192515036678,1.1966265166798602,1.1966265166798602
3,2622,25.74339404194401,25.74339404194401,0.12962304124929758,0.12962304124929758
3,2619,25.037994669216914,25.037994669216914,0.852691296827302,0.852691296827302
3,2617,16.402048018998254,16.402048018998254,0.6549427893509208,0.6549427893509208
3,2614,33.93681384138691,33.93681384138691,1.1019213380196922,1.1019213380196922
3,2613,22.03209633711698,22.03209633711698,0.41837398270295745,0.41837398270295745
3,2604,119.49085459489356,119.49085459489356,0.5478524049011028,0.5478524049011028
3,2607,21.244368264031387,21.244368264031387,0.4804095283594779,0.4804095283594779
3,2602,37.188571143348874,37.188571143348874,1.121160490090392,1.121160490090392
3,2621,21.54599756072406,21.54599756072406,5.501897707781342,5.501897707781342
3,2620,41.89596995869066,41.89596995869066,1.4351503596464301,1.4351503596464301
3,2618,23.743616161645484,23.743616161645484,14.386195691587803,14.386195691587803
3,2611,115.16973175298952,115.16973175298952,2.6924419017872356,2.6924419017872356
3,2609,42.02958529728659,26.721780447766832,5.981858163076316,3.4974203620693434
3,2606,121.44700469659008,121.44700469659008,0.24682429881246992,0.24682429881246992
3,2597,147.8710659764654,147.8710659764654,2.6805510617919106,2.6805510617919106
3,2592,30.564691251497656,30.564691251497656,1.0568679509153136,1.0568679509153136
3,2587,18.4555957474415,18.4555957474415,4.084204170479546,4.084204170479546
3,2580,34.26610339279675,34.26610339279675,0.501410337642988,0.501410337642988
3,2616,31.594662228040356,31.594662228040356,0.38233220344293073,0.38233220344293073
3,2608,24.874993060245142,24.874993060245142,1.8675119372756095,1.8675119372756095
3,1789,33.14104424464194,23.496484631227307,0.39052437944687035,0.3167299001861247
3,1787,7.647882292061627,7.647882292061627,0.6243828647310019,0.6243828647310019
3,2600,31.42178992927681,31.42178992927681,10.435593955929187,10.435593955929187
3,2599,45.82470618007071,45.82470618007071,2.970831571172506,2.970831571172506
3,1775,18.209293782308634,14.599084321048503,0.32341475955031707,0.2682596241065297
3,1776,68.3878812240504,68.3878812240504,1.3058038341130753,1.3058038341130753
3,2593,8.02383948953176,8.02383948953176,1.5377873647968183,1.5377873647968183
3,2591,35.52461455991538,35.52461455991538,0.7957200828865476,0.7957200828865476
3,2596,0.7399145346908664,0.7399145346908664,2.1269273426047826,2.1269273426047826
3,2589,3.2076414743588,2.793218106700188,1.1118212144393242,1.0560209637902715
3,2586,54.95504562536942,40.034062238659345,19.838668527947227,18.17873036314641
3,2572,19.8121165593667,17.41162420236983,0.060380779500591286,0.03251443523686749
3,2555,24.716124077550884,24.716124077550884,0.6735711128095783,0.6735711128095783
3,2556,68.55500271783848,60.93372481766673,2.738221422228319,2.1402760007440222
3,2550,21.1729307522381,21.1729307522381,3.2405646183633903,3.2405646183633903
3,2547,18.648234756917297,18.648234756917297,1.447992378773771,1.447992378773771
3,2546,88.22822383933627,88.22822383933627,0.5003145324740589,0.5003145324740589
3,2532,17.522320076268244,17.522320076268244,5.7118682505391885,5.7118682505391885
3,2579,23.47513441241647,23.47513441241647,0.7900887202860207,0.7900887202860207
3,2573,2.9838936147152406,2.740218633333364,1.0730685052433229,0.9688159930230431
3,2560,25.03606668212855,22.356616324531533,1.0377320284990446,0.7286317490341488
3,2557,16.098369350822352,16.098369350822352,0.9335644859508252,0.9335644859508252
3,2559,33.54668791322318,33.54668791322318,5.82559439926005,5.82559439926005
3,2543,33.980549354650115,18.944450032734718,2.2939045646216094,2.098044934566758
3,2534,53.37497239617555,34.988343679193406,0.4302855554665327,0.3694626298646989
3,2536,17.043905178325538,17.043905178325538,0.1517729489246129,0.1517729489246129
3,2521,18.985511874929625,18.985511874929625,19.835329517310797,19.835329517310797
3,2523,18.172495814623034,10.375363679995843,5.195459920518141,4.243740120681841
3,1863,6.8622171144345945,6.8622171144345945,1.1871946173407983,1.1871946173407983
3,1862,19.058514615265466,19.058514615265466,0.5031657264628312,0.5031657264628312
3,1861,19.900250282274563,7.53651651126197,2.3286911576148404,1.208415007761705
3,1859,24.612322995563716,24.612322995563716,4.886680624169234,4.886680624169234
3,2677,73.95728547866989,73.95728547866989,1.2492999272744454,1.2492999272744454
3,1858,135.38105132089572,121.41464873208452,0.2160622906097518,0.13235815329777953
3,2675,16.053568853449924,16.053568853449924,1.0667915571440125,1.0667915571440125
3,1852,29.962090621499637,29.962090621499637,1.6123222409298321,1.6123222409298321
3,1853,29.078605826924424,29.078605826924424,5.925014452172622,5.925014452172622
3,1854,16.102607678132237,16.102607678132237,4.337074911772573,4.337074911772573
3,1856,28.480033247659556,28.480033247659556,1.2733733521835355,1.2733733521835355
3,2670,16.976537025018764,16.976537025018764,0.7513926477280078,0.7513926477280078
3,1850,20.539194857795483,20.539194857795483,3.2702097619938293,3.2702097619938293
3,1849,24.06931550369084,16.058801429324003,0.4076673705124999,0.32977718129579403
3,1843,41.97263546855997,41.97263546855997,2.410983917827905,2.410983917827905
3,1844,109.39101472093364,109.39101472093364,1.5000158910128942,1.5000158910128942
3,2663,34.26532854746825,34.26532854746825,1.242124763731392,1.242124763731392
3,1841,35.84681249667786,23.366501887605708,1.1211277769605137,0.9510632030983789
3,1834,9.766635674338472,9.766635674338472,18.135653081878328,18.135653081878328
3,1835,38.22182216775133,38.22182216775133,2.03865561156299,2.03865561156299
3,1860,24.256830007420778,24.256830007420778,2.737717214882924,2.737717214882924
3,1857,9.249496366308444,4.754246177209522,0.8131175147967437,0.4590983529520739
3,1855,9.152636368934672,7.626111097436525,0.3520501921964082,0.2239471562215796
3,1848,1.7078035901760646,1.7078035901760646,3.11786830283101,3.11786830283101
3,1847,13.941069149175028,13.941069149175028,4.6401543813937405,4.6401543813937405
3,1840,73.54761133098576,48.25478247729062,0.43713211930378526,0.29094001263036356
3,1837,37.53184254015646,28.689334191579263,1.1888560397721706,1.1273405532455778
3,1838,85.16892592484069,85.16892592484069,1.256368142644627,1.256368142644627
3,1833,20.15495545771108,20.15495545771108,0.7247823332844481,0.7247823332844481
3,1829,72.89715218252589,72.89715218252589,0.5523586068170564,0.5523586068170564
3,1831,55.542958321897316,45.70606296924589,0.4883748951558752,0.3933531591211185
3,1836,33.60381125520948,33.60381125520948,1.1629837912277494,1.1629837912277494
3,1830,8.21507150077837,8.21507150077837,0.35186600863410467,0.35186600863410467
3,1827,16.26036599662679,11.395897940566623,3.3330336990814042,2.228684915747821
3,1823,38.73640013593911,38.73640013593911,0.5102405028147347,0.5102405028147347
3,1825,24.048087782675992,24.048087782675992,0.29096088803098574,0.29096088803098574
3,1822,37.95677717099217,37.95677717099217,3.866040700348016,3.866040700348016
3,1821,68.7024000074054,68.7024000074054,5.714919327803475,5.714919327803475
3,1819,18.515692285840238,18.515692285840238,0.6126947336320637,0.6126947336320637
3,1815,69.31787494927376,69.31787494927376,0.3920139496390197,0.3920139496390197
3,1851,4.747525735410134,4.747525735410134,0.7798803384693687,0.7798803384693687
3,1842,42.060008782932556,42.060008782932556,2.6205585866571512,2.6205585866571512
3,1846,139.64422322148513,112.41395243734227,0.9066939991022197,0.7143664110696679
3,1845,16.033892594275176,16.033892594275176,0.9589813058857944,0.9589813058857944
3,1839,46.45125228609082,46.45125228609082,0.5285999022422762,0.5285999022422762
3,1832,108.19838739716222,108.19838739716222,1.3853354612019262,1.3853354612019262
3,1824,46.62899915489395,38.37287245258149,4.545236489678332,2.714325842989923
