field,s4-Residue Management (No-Till)(329),s4-Cover Crop(340),s4-Grassed Waterway(412),s4-Nutrient Management(590),s4-Constructed Wetland(656),s4-All CPS
scenario,4,4,4,4,4,4
cps,329,340,412,590,656,0
cps_name,Residue Management (No-Till),Cover Crop,Grassed Waterway,Nutrient Management,Constructed Wetland,All CPS
bmp_count,496,185,1,307,11,1000
failures_count,122,42,0,75,4,243
treated_TN_count,496,185,1,307,11,1000
treated_TN_mean,655.5909075957495,764.6074986274486,15.059130317591698,657.1068340836405,329.02525467463835,671.991612408986
treated_TN_std,945.2354355193954,1313.1081762919275,,946.6567178443178,633.5592220694815,1020.9431517513789
treated_TN_min,1.4538367695881365,2.7324889815214606,15.059130317591698,0.2390822015286433,28.498082978587007,0.2390822015286433
treated_TN_p25,154.47858321113782,167.77654105683166,15.059130317591698,146.220825518581,89.03235322033707,150.32140951324772
treated_TN_p50,339.3192172636656,351.33865157072415,15.059130317591698,331.3448936641169,120.63564698922613,338.13944109724355
treated_TN_p75,739.1419083370296,706.0962692908739,15.059130317591698,766.4274163640794,197.8861387307681,740.5411701814505
treated_TN_max,7433.6064629943485,9621.015489475236,15.059130317591698,6637.7249849986165,2222.190073747197,9621.015489475236
removed_TN_count,496,185,1,307,11,1000
removed_TN_mean,46.64617069172579,235.21016787058267,0.7302993699794086,192.464488748075,78.20952544638023,126.59801484409297
removed_TN_std,83.17880317578152,420.08326908761234,,323.33586835744484,184.40742696071698,273.9121399714285
removed_TN_min,0.13111036692440067,0.9659909767179806,0.7302993699794086,0.10180753939261748,4.464085363695807,0.10180753939261748
removed_TN_p25,7.88304395844391,30.697845802566206,0.7302993699794086,32.415895985512385,14.575996104657742,14.235168999063973
removed_TN_p50,20.724296866751516,100.25774270508253,0.7302993699794086,82.94816579778589,26.315847389626697,39.81496777497061
removed_TN_p75,48.79507804420992,232.88780573369547,0.7302993699794086,220.6628598591206,29.61092054359667,122.02851915699043
removed_TN_max,795.8814779957321,3321.708710263012,0.7302993699794086,2491.579652811661,632.8502479221623,3321.708710263012
treated_TP_count,496,185,1,307,11,1000
treated_TP_mean,48.99942757682188,64.13154336987549,10.300053894876298,49.80838414815682,16.882341566435333,51.655231346140425
treated_TP_std,115.1966642891151,151.41410683424317,,96.91288986158479,17.758262075491423,117.15984560841123
treated_TP_min,0.012256186692403997,0.05308233781689573,10.300053894876298,0.02686652738165709,0.6242775705607418,0.012256186692403997
treated_TP_p25,6.973609679645186,8.518143680943318,10.300053894876298,8.120078963412833,4.975390347030496,7.524162727775682
treated_TP_p50,19.35048177777523,28.962420276611354,10.300053894876298,18.71468275147276,10.202565912768241,20.04350906979026
treated_TP_p75,44.39059666012669,58.62925175190068,10.300053894876298,52.56015060158961,23.896913361620214,51.278143467174196
treated_TP_max,1412.8833921018654,1394.4461382683382,10.300053894876298,992.6124883154098,52.16669307896738,1412.8833921018654
removed_TP_count,496,185,1,307,11,1000
removed_TP_mean,7.4326777286775885,9.139084023305843,1.7111467664169753,10.646657760492536,4.087055845065667,8.692531391269013
removed_TP_std,18.567899004687042,19.70567145673889,,22.311436362229824,5.634995332570454,19.935637164840486
removed_TP_min,0.0005084960205747167,0.009134114502387011,1.7111467664169753,0.00668991809541191,0.03889474738572588,0.0005084960205747167
removed_TP_p25,0.8011486687795425,1.095493930838525,1.7111467664169753,1.0089148137123112,0.5185525618671687,0.8899910741089189
removed_TP_p50,2.389543099412176,3.287572128168607,1.7111467664169753,4.1525262639633125,2.2540786885447064,2.9461227420774456
