field,s1-Residue Management (No-Till)(329),s1-Cover Crop(340),s1-Grassed Waterway(412),s1-Nutrient Management(590),s1-Constructed Wetland(656),s1-All CPS
scenario,1,1,1,1,1,1
cps,329,340,412,590,656,0
cps_name,Residue Management (No-Till),Cover Crop,Grassed Waterway,Nutrient Management,Constructed Wetland,All CPS
bmp_count,484,196,1,316,3,1000
failures_count,99,55,0,69,1,224
treated_TN_count,484,196,1,316,3,1000
treated_TN_mean,586.0403729663278,566.1100601321755,612.3893182227131,637.7842139809273,29.22548331592073,596.8409896877525
treated_TN_std,931.954016261591,732.6826984214174,,815.5376117395136,7.695957955031521,858.0011879742898
treated_TN_min,0.09434589393442888,0.0255308560579527,612.3893182227131,0.08619113822644373,21.93800604674654,0.0255308560579527
treated_TN_p25,151.46419945772402,172.47225028967026,612.3893182227131,176.85551364936495,25.20149711173942,164.89444550265756
treated_TN_p50,321.0914651379906,324.6607197066364,612.3893182227131,362.40756284167304,28.464988176732298,337.9265098993098
treated_TN_p75,677.769527942391,689.105145573786,612.3893182227131,834.2548866110704,32.86922195050783,717.7830806278021
treated_TN_max,10410.323391506392,5849.227701984945,612.3893182227131,5665.215205589221,37.27345572428336,10410.323391506392
removed_TN_count,484,196,1,316,3,1000
removed_TN_mean,43.27908101490815,152.78026110941028,56.404086715503944,172.93190751501547,7.3338442073118175,105.61689478274229
removed_TN_std,80.17258478221395,204.4129801709152,,237.23085999241815,4.44311050806175,181.08897061348634
removed_TN_min,0.00815475570798517,0.008268134370055195,56.404086715503944,0.007872084436977738,2.7594068595301597,0.007872084436977738
removed_TN_p25,9.991950530616935,32.76157748390935,56.404086715503944,37.914460192248285,5.184361717296896,15.50000538889681
removed_TN_p50,22.21534855179327,88.62900166797058,56.404086715503944,104.10315548059981,7.609316575063632,42.8549735055517
removed_TN_p75,45.61195506995771,176.72886414310247,56.404086715503944,204.7668768376805,9.621062881202647,124.4043460110772
removed_TN_max,1182.6395806759926,1333.7385985008546,56.404086715503944,1927.721742335001,11.632809187341662,1927.721742335001
treated_TP_count,484,196,1,316,3,1000
treated_TP_mean,51.695754249851866,47.76357616567726,3.3335038226339826,47.27899212178578,1.9368593939978993,49.331711577889976
treated_TP_std,101.64166501332188,104.32137600682043,,79.68884662990982,1.730937436843481,95.57679666572807
treated_TP_min,0.031616290531123165,0.0005732355341537483,3.3335038226339826,0.0021966283019734076,0.6386648965699342,0.0005732355341537483
treated_TP_p25,6.576642709846801,5.610423779060305,3.3335038226339826,5.824714989828165,0.9542525094157792,5.958762607700402
treated_TP_p50,18.861240390905607,15.17433647968527,3.3335038226339826,18.43333618017479,1.2698401222616242,17.94779816210596
treated_TP_p75,54.07464689804328,42.567446849693425,3.3335038226339826,50.36870721444189,2.5859566427118823,50.721015354810156
treated_TP_max,1329.8348704400173,1032.1980510594487,3.3335038226339826,653.6424427665339,3.90207316316214,1329.8348704400173
removed_TP_count,484,196,1,316,3,1000
removed_TP_mean,7.881518142912219,6.1628644565755435,0.5067677494501297,10.713460635948914,0.4541989615227049,8.409899140252197
removed_TP_std,19.09310554854418,12.030528248223263,,20.220600259694887,0.5467147695207598,18.3435274157708
removed_TP_min,0.004931413069320951,0.00011968352122205053,0.5067677494501297,0.0007640671287037242,0.07795775887727216,0.00011968352122205053
removed_TP_p25,0.8509305843816103,0.7165124357661439,0.5067677494501297,1.08246541963928,0.14063412942402292,0.8598817113459433
removed_TP_p50,2.7487560426891737,1.9969590231076815,0.5067677494501297,3.3453356824947393,0.20331049997077366,2.7199513951810785
removed_TP_p75,7.080822984139467,6.217404020510213,0.5067677494501297,11.15711479050512,0.6423195628454212,8.059922509348416
removed_TP_max,297.63681938056857,100.75981715891002,0.5067677494501297,190.88619986071302,1.081328625720069,297.63681938056857
efficiency_TN_count,484,196,1,316,3,1000
efficiency_TN_mean,0.9846202007124187,0.9851797869101204,1.0,0.9773463396547728,1.0,0.9824928587101025
efficiency_TN_std,0.10455862137409332,0.0998543080425464,,0.12960356675353865,0.0,0.11198904673358012
efficiency_TN_min,0.019461545356877934,0.003358223075514172,1.0,0.006619030683956132,1.0,0.003358223075514172
efficiency_TN_p25,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TN_p50,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TN_p75,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TN_max,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_count,484,196,1,316,3,1000
efficiency_TP_mean,0.9856508645108257,0.9857039780772221,1.0,0.9774429835753209,1.0,0.9831249809361766
efficiency_TP_std,0.1003716511805215,0.0967162386375236,,0.12954277602013278,0.0,0.10956212873549497
efficiency_TP_min,0.019461545356877934,0.003358223075514172,1.0,0.006619030683956132,1.0,0.003358223075514172
efficiency_TP_p25,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p50,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p75,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_max,1.0,1.0,1.0,1.0,1.0,1.0
cost_usd_count,484,196,1,316,3,1000
cost_usd_mean,790.6144057767565,2403.2884605860163,28421.20418466648,1434.6205955172452,121377.56435591284,1699.5959161066637
cost_usd_std,857.7149544399009,2304.7497904868096,,1641.3970176547368,48272.86784292741,7152.142756150366
cost_usd_min,0.7162661532144199,0.5808774949625349,28421.20418466648,0.5431350632495195,72921.31002681721,0.5431350632495195
cost_usd_p25,321.02226420051807,1113.200960343141,28421.20418466648,529.5147456899251,97333.88078727477,420.63607791713974
