2026-06-05 12:37:38,762 | VERBOSE | Worker logger initialized for scenario 3
2026-06-05 12:37:38,763 | INFO | BEGIN scenario 3
2026-06-05 12:37:38,763 | INFO |   === scenario 3 start ===
2026-06-05 12:37:39,094 | VERBOSE |   selected parcel idx=964 with pid=965
2026-06-05 12:37:39,094 | VERBOSE |   BEGIN apply bmp cps=340 pid=965
2026-06-05 12:37:39,095 | VERBOSE |     BMP failure triggered for cps=340; scaling efficiencies by 0.25
2026-06-05 12:37:39,095 | VERBOSE |     BEGIN simulate_infield
2026-06-05 12:37:39,095 | VERBOSE |       calling _simulate_infield
2026-06-05 12:37:39,095 | VERBOSE |     END simulate_infield
2026-06-05 12:37:39,095 | VERBOSE |     BEGIN get_bmp_cost cps=340
2026-06-05 12:37:39,095 | VERBOSE |       calling _get_bmp_cost
2026-06-05 12:37:39,098 | VERBOSE |       sampled cost rate 112.3589 for cps=340, unit=usd/ha
2026-06-05 12:37:39,098 | VERBOSE |       computed cost for cps=340 using rate=112.3589, unit='usd/ha', realized_quantity=61.8664 => cost=6951.24
2026-06-05 12:37:39,098 | VERBOSE |     END get_bmp_cost cps=340
2026-06-05 12:37:39,098 | VERBOSE |   END apply bmp cps=340 pid=965
2026-06-05 12:37:39,099 | VERBOSE |   selected parcel idx=167 with pid=168
2026-06-05 12:37:39,099 | VERBOSE |   BEGIN apply bmp cps=590 pid=168
2026-06-05 12:37:39,099 | VERBOSE |     BEGIN simulate_infield
2026-06-05 12:37:39,099 | VERBOSE |       calling _simulate_infield
2026-06-05 12:37:39,099 | VERBOSE |     END simulate_infield
2026-06-05 12:37:39,100 | VERBOSE |     BEGIN get_bmp_cost cps=590
2026-06-05 12:37:39,100 | VERBOSE |       calling _get_bmp_cost
2026-06-05 12:37:39,101 | VERBOSE |       sampled cost rate 92.5992 for cps=590, unit=usd/ha
2026-06-05 12:37:39,101 | VERBOSE |       computed cost for cps=590 using rate=92.5992, unit='usd/ha', realized_quantity=13.5984 => cost=1259.20
2026-06-05 12:37:39,101 | VERBOSE |     END get_bmp_cost cps=590
2026-06-05 12:37:39,101 | VERBOSE |   END apply bmp cps=590 pid=168
2026-06-05 12:37:39,101 | VERBOSE |   selected parcel idx=1517 with pid=1518
2026-06-05 12:37:39,102 | VERBOSE |   BEGIN apply bmp cps=329 pid=1518
2026-06-05 12:37:39,103 | VERBOSE |     BEGIN simulate_infield
2026-06-05 12:37:39,103 | VERBOSE |       calling _simulate_infield
2026-06-05 12:37:39,103 | VERBOSE |     END simulate_infield
