2026-06-05 14:13:27,908 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,908 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,908 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,909 | VERBOSE |       sampled cost rate 36.2736 for cps=329, unit=usd/ha
2026-06-05 14:13:27,909 | VERBOSE |       computed cost for cps=329 using rate=36.2736, unit='usd/ha', realized_quantity=45.9383 => cost=1666.35
2026-06-05 14:13:27,909 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,909 | VERBOSE |   END apply bmp cps=329 pid=2605
2026-06-05 14:13:27,910 | VERBOSE |   selected parcel idx=2518 with pid=2519
2026-06-05 14:13:27,910 | VERBOSE |   BEGIN apply bmp cps=590 pid=2519
2026-06-05 14:13:27,910 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,910 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,910 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,910 | VERBOSE |     BEGIN get_bmp_cost cps=590
2026-06-05 14:13:27,910 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,911 | VERBOSE |       sampled cost rate 74.4396 for cps=590, unit=usd/ha
2026-06-05 14:13:27,911 | VERBOSE |       computed cost for cps=590 using rate=74.4396, unit='usd/ha', realized_quantity=7.0259 => cost=523.00
2026-06-05 14:13:27,911 | VERBOSE |     END get_bmp_cost cps=590
2026-06-05 14:13:27,912 | VERBOSE |   END apply bmp cps=590 pid=2519
2026-06-05 14:13:27,912 | VERBOSE |   selected parcel idx=269 with pid=270
2026-06-05 14:13:27,912 | VERBOSE |   BEGIN apply bmp cps=329 pid=270
2026-06-05 14:13:27,912 | VERBOSE |     BMP failure triggered for cps=329; scaling efficiencies by 0.25
2026-06-05 14:13:27,913 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,913 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,913 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,913 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,913 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,920 | VERBOSE |       sampled cost rate 38.4319 for cps=329, unit=usd/ha
2026-06-05 14:13:27,920 | VERBOSE |       computed cost for cps=329 using rate=38.4319, unit='usd/ha', realized_quantity=8.8713 => cost=340.94
2026-06-05 14:13:27,920 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,920 | VERBOSE |   END apply bmp cps=329 pid=270
2026-06-05 14:13:27,920 | VERBOSE |   selected parcel idx=2262 with pid=2263
2026-06-05 14:13:27,920 | VERBOSE |   BEGIN apply bmp cps=329 pid=2263
2026-06-05 14:13:27,921 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,921 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,921 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,921 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,921 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,922 | VERBOSE |       sampled cost rate 32.4950 for cps=329, unit=usd/ha
2026-06-05 14:13:27,922 | VERBOSE |       computed cost for cps=329 using rate=32.4950, unit='usd/ha', realized_quantity=10.7191 => cost=348.32
2026-06-05 14:13:27,922 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,923 | VERBOSE |   END apply bmp cps=329 pid=2263
2026-06-05 14:13:27,923 | VERBOSE |   selected parcel idx=2056 with pid=2057
2026-06-05 14:13:27,923 | VERBOSE |   BEGIN apply bmp cps=590 pid=2057
2026-06-05 14:13:27,923 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,923 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,924 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,924 | VERBOSE |     BEGIN get_bmp_cost cps=590
2026-06-05 14:13:27,924 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,925 | VERBOSE |       sampled cost rate 30.7525 for cps=590, unit=usd/ha
2026-06-05 14:13:27,925 | VERBOSE |       computed cost for cps=590 using rate=30.7525, unit='usd/ha', realized_quantity=7.9713 => cost=245.14
2026-06-05 14:13:27,925 | VERBOSE |     END get_bmp_cost cps=590
2026-06-05 14:13:27,925 | VERBOSE |   END apply bmp cps=590 pid=2057
2026-06-05 14:13:27,926 | VERBOSE |   selected parcel idx=431 with pid=432
2026-06-05 14:13:27,926 | VERBOSE |   BEGIN apply bmp cps=329 pid=432
2026-06-05 14:13:27,926 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,926 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,927 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,927 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,927 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,928 | VERBOSE |       sampled cost rate 47.2534 for cps=329, unit=usd/ha
2026-06-05 14:13:27,928 | VERBOSE |       computed cost for cps=329 using rate=47.2534, unit='usd/ha', realized_quantity=22.0214 => cost=1040.58
2026-06-05 14:13:27,928 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,928 | VERBOSE |   END apply bmp cps=329 pid=432
2026-06-05 14:13:27,928 | VERBOSE |   selected parcel idx=1860 with pid=1861
2026-06-05 14:13:27,928 | VERBOSE |   BEGIN apply bmp cps=329 pid=1861
2026-06-05 14:13:27,928 | VERBOSE |     BMP failure triggered for cps=329; scaling efficiencies by 0.25
2026-06-05 14:13:27,929 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,929 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,929 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,929 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,929 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,930 | VERBOSE |       sampled cost rate 38.2554 for cps=329, unit=usd/ha
2026-06-05 14:13:27,930 | VERBOSE |       computed cost for cps=329 using rate=38.2554, unit='usd/ha', realized_quantity=23.5328 => cost=900.26
2026-06-05 14:13:27,930 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,930 | VERBOSE |   END apply bmp cps=329 pid=1861
2026-06-05 14:13:27,930 | VERBOSE |   selected parcel idx=923 with pid=924
2026-06-05 14:13:27,931 | VERBOSE |   BEGIN apply bmp cps=329 pid=924
2026-06-05 14:13:27,931 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,931 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,931 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,931 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,931 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,932 | VERBOSE |       sampled cost rate 45.6167 for cps=329, unit=usd/ha
2026-06-05 14:13:27,932 | VERBOSE |       computed cost for cps=329 using rate=45.6167, unit='usd/ha', realized_quantity=20.2179 => cost=922.27
2026-06-05 14:13:27,932 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,932 | VERBOSE |   END apply bmp cps=329 pid=924
2026-06-05 14:13:27,933 | VERBOSE |   selected parcel idx=1591 with pid=1592
2026-06-05 14:13:27,933 | VERBOSE |   BEGIN apply bmp cps=329 pid=1592
2026-06-05 14:13:27,933 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,933 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,933 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,934 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,934 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,935 | VERBOSE |       sampled cost rate 39.7181 for cps=329, unit=usd/ha
2026-06-05 14:13:27,935 | VERBOSE |       computed cost for cps=329 using rate=39.7181, unit='usd/ha', realized_quantity=10.9003 => cost=432.94
2026-06-05 14:13:27,935 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,935 | VERBOSE |   END apply bmp cps=329 pid=1592
2026-06-05 14:13:27,935 | VERBOSE |   selected parcel idx=964 with pid=965
2026-06-05 14:13:27,935 | VERBOSE |   BEGIN apply bmp cps=340 pid=965
2026-06-05 14:13:27,936 | VERBOSE |     BMP failure triggered for cps=340; scaling efficiencies by 0.25
2026-06-05 14:13:27,936 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,936 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,936 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,936 | VERBOSE |     BEGIN get_bmp_cost cps=340
2026-06-05 14:13:27,936 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,938 | VERBOSE |       sampled cost rate 136.9677 for cps=340, unit=usd/ha
2026-06-05 14:13:27,938 | VERBOSE |       computed cost for cps=340 using rate=136.9677, unit='usd/ha', realized_quantity=61.8664 => cost=8473.70
2026-06-05 14:13:27,939 | VERBOSE |     END get_bmp_cost cps=340
2026-06-05 14:13:27,939 | VERBOSE |   END apply bmp cps=340 pid=965
2026-06-05 14:13:27,939 | VERBOSE |   selected parcel idx=2674 with pid=2675
2026-06-05 14:13:27,939 | VERBOSE |   BEGIN apply bmp cps=329 pid=2675
2026-06-05 14:13:27,940 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,940 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,940 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,940 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,940 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,941 | VERBOSE |       sampled cost rate 51.4084 for cps=329, unit=usd/ha
2026-06-05 14:13:27,941 | VERBOSE |       computed cost for cps=329 using rate=51.4084, unit='usd/ha', realized_quantity=4.7126 => cost=242.27
2026-06-05 14:13:27,941 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,941 | VERBOSE |   END apply bmp cps=329 pid=2675
2026-06-05 14:13:27,941 | VERBOSE |   selected parcel idx=338 with pid=339
2026-06-05 14:13:27,941 | VERBOSE |   BEGIN apply bmp cps=340 pid=339
2026-06-05 14:13:27,942 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,942 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,942 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,942 | VERBOSE |     BEGIN get_bmp_cost cps=340
2026-06-05 14:13:27,942 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,943 | VERBOSE |       sampled cost rate 142.5397 for cps=340, unit=usd/ha
2026-06-05 14:13:27,943 | VERBOSE |       computed cost for cps=340 using rate=142.5397, unit='usd/ha', realized_quantity=16.9762 => cost=2419.78
2026-06-05 14:13:27,943 | VERBOSE |     END get_bmp_cost cps=340
2026-06-05 14:13:27,943 | VERBOSE |   END apply bmp cps=340 pid=339
2026-06-05 14:13:27,943 | VERBOSE |   selected parcel idx=1986 with pid=1987
2026-06-05 14:13:27,943 | VERBOSE |   BEGIN apply bmp cps=329 pid=1987
2026-06-05 14:13:27,943 | VERBOSE |     BMP failure triggered for cps=329; scaling efficiencies by 0.25
2026-06-05 14:13:27,944 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,944 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,944 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,944 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,944 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,945 | VERBOSE |       sampled cost rate 37.6295 for cps=329, unit=usd/ha
2026-06-05 14:13:27,945 | VERBOSE |       computed cost for cps=329 using rate=37.6295, unit='usd/ha', realized_quantity=107.8623 => cost=4058.81
2026-06-05 14:13:27,945 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,945 | VERBOSE |   END apply bmp cps=329 pid=1987
2026-06-05 14:13:27,945 | VERBOSE |   selected parcel idx=1328 with pid=1329
2026-06-05 14:13:27,945 | VERBOSE |   BEGIN apply bmp cps=590 pid=1329
2026-06-05 14:13:27,946 | VERBOSE |     BMP failure triggered for cps=590; scaling efficiencies by 0.25
2026-06-05 14:13:27,946 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,946 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,946 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,946 | VERBOSE |     BEGIN get_bmp_cost cps=590
2026-06-05 14:13:27,946 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,947 | VERBOSE |       sampled cost rate 114.1614 for cps=590, unit=usd/ha
2026-06-05 14:13:27,947 | VERBOSE |       computed cost for cps=590 using rate=114.1614, unit='usd/ha', realized_quantity=14.4589 => cost=1650.64
2026-06-05 14:13:27,947 | VERBOSE |     END get_bmp_cost cps=590
2026-06-05 14:13:27,947 | VERBOSE |   END apply bmp cps=590 pid=1329
2026-06-05 14:13:27,947 | VERBOSE |   selected parcel idx=2320 with pid=2321
2026-06-05 14:13:27,947 | VERBOSE |   BEGIN apply bmp cps=329 pid=2321
2026-06-05 14:13:27,948 | VERBOSE |     BMP failure triggered for cps=329; scaling efficiencies by 0.25
2026-06-05 14:13:27,948 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,948 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,948 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,948 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,948 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,949 | VERBOSE |       sampled cost rate 40.0385 for cps=329, unit=usd/ha
2026-06-05 14:13:27,949 | VERBOSE |       computed cost for cps=329 using rate=40.0385, unit='usd/ha', realized_quantity=17.2103 => cost=689.07
2026-06-05 14:13:27,949 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,949 | VERBOSE |   END apply bmp cps=329 pid=2321
2026-06-05 14:13:27,949 | VERBOSE |   selected parcel idx=2101 with pid=2102
2026-06-05 14:13:27,949 | VERBOSE |   BEGIN apply bmp cps=329 pid=2102
2026-06-05 14:13:27,950 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,950 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,950 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,950 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,951 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,951 | VERBOSE |       sampled cost rate 53.6503 for cps=329, unit=usd/ha
2026-06-05 14:13:27,951 | VERBOSE |       computed cost for cps=329 using rate=53.6503, unit='usd/ha', realized_quantity=10.8531 => cost=582.27
2026-06-05 14:13:27,952 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,952 | VERBOSE |   END apply bmp cps=329 pid=2102
2026-06-05 14:13:27,952 | VERBOSE |   selected parcel idx=1670 with pid=1671
2026-06-05 14:13:27,952 | VERBOSE |   BEGIN apply bmp cps=340 pid=1671
2026-06-05 14:13:27,952 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,953 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,953 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,953 | VERBOSE |     BEGIN get_bmp_cost cps=340
2026-06-05 14:13:27,953 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,954 | VERBOSE |       sampled cost rate 103.9755 for cps=340, unit=usd/ha
2026-06-05 14:13:27,954 | VERBOSE |       computed cost for cps=340 using rate=103.9755, unit='usd/ha', realized_quantity=19.8627 => cost=2065.24
2026-06-05 14:13:27,954 | VERBOSE |     END get_bmp_cost cps=340
2026-06-05 14:13:27,954 | VERBOSE |   END apply bmp cps=340 pid=1671
2026-06-05 14:13:27,954 | VERBOSE |   selected parcel idx=274 with pid=275
2026-06-05 14:13:27,955 | VERBOSE |   BEGIN apply bmp cps=329 pid=275
2026-06-05 14:13:27,955 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,955 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,955 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,955 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,955 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,959 | VERBOSE |       sampled cost rate 38.1320 for cps=329, unit=usd/ha
2026-06-05 14:13:27,959 | VERBOSE |       computed cost for cps=329 using rate=38.1320, unit='usd/ha', realized_quantity=28.8182 => cost=1098.90
2026-06-05 14:13:27,959 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,959 | VERBOSE |   END apply bmp cps=329 pid=275
2026-06-05 14:13:27,959 | VERBOSE |   selected parcel idx=167 with pid=168
2026-06-05 14:13:27,959 | VERBOSE |   BEGIN apply bmp cps=329 pid=168
2026-06-05 14:13:27,960 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,960 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,960 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,960 | VERBOSE |     BEGIN get_bmp_cost cps=329
2026-06-05 14:13:27,960 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,961 | VERBOSE |       sampled cost rate 34.0260 for cps=329, unit=usd/ha
2026-06-05 14:13:27,961 | VERBOSE |       computed cost for cps=329 using rate=34.0260, unit='usd/ha', realized_quantity=13.5984 => cost=462.70
2026-06-05 14:13:27,961 | VERBOSE |     END get_bmp_cost cps=329
2026-06-05 14:13:27,961 | VERBOSE |   END apply bmp cps=329 pid=168
2026-06-05 14:13:27,961 | VERBOSE |   selected parcel idx=2445 with pid=2446
2026-06-05 14:13:27,961 | VERBOSE |   BEGIN apply bmp cps=340 pid=2446
2026-06-05 14:13:27,962 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,962 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,962 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,962 | VERBOSE |     BEGIN get_bmp_cost cps=340
2026-06-05 14:13:27,962 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,963 | VERBOSE |       sampled cost rate 143.1977 for cps=340, unit=usd/ha
2026-06-05 14:13:27,963 | VERBOSE |       computed cost for cps=340 using rate=143.1977, unit='usd/ha', realized_quantity=1.1444 => cost=163.87
2026-06-05 14:13:27,963 | VERBOSE |     END get_bmp_cost cps=340
2026-06-05 14:13:27,963 | VERBOSE |   END apply bmp cps=340 pid=2446
2026-06-05 14:13:27,963 | VERBOSE |   selected parcel idx=2635 with pid=2636
2026-06-05 14:13:27,963 | VERBOSE |   BEGIN apply bmp cps=340 pid=2636
2026-06-05 14:13:27,964 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,965 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,965 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,965 | VERBOSE |     BEGIN get_bmp_cost cps=340
2026-06-05 14:13:27,965 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,966 | VERBOSE |       sampled cost rate 114.3727 for cps=340, unit=usd/ha
2026-06-05 14:13:27,966 | VERBOSE |       computed cost for cps=340 using rate=114.3727, unit='usd/ha', realized_quantity=12.8361 => cost=1468.10
2026-06-05 14:13:27,966 | VERBOSE |     END get_bmp_cost cps=340
2026-06-05 14:13:27,966 | VERBOSE |   END apply bmp cps=340 pid=2636
2026-06-05 14:13:27,966 | VERBOSE |   selected parcel idx=52 with pid=53
2026-06-05 14:13:27,971 | VERBOSE |   BEGIN apply bmp cps=590 pid=53
2026-06-05 14:13:27,976 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,978 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,978 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,978 | VERBOSE |     BEGIN get_bmp_cost cps=590
2026-06-05 14:13:27,978 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,980 | VERBOSE |       sampled cost rate 62.2217 for cps=590, unit=usd/ha
2026-06-05 14:13:27,980 | VERBOSE |       computed cost for cps=590 using rate=62.2217, unit='usd/ha', realized_quantity=11.5716 => cost=720.00
2026-06-05 14:13:27,980 | VERBOSE |     END get_bmp_cost cps=590
2026-06-05 14:13:27,980 | VERBOSE |   END apply bmp cps=590 pid=53
2026-06-05 14:13:27,980 | VERBOSE |   selected parcel idx=1117 with pid=1118
2026-06-05 14:13:27,980 | VERBOSE |   BEGIN apply bmp cps=590 pid=1118
2026-06-05 14:13:27,981 | VERBOSE |     BEGIN simulate_infield
2026-06-05 14:13:27,981 | VERBOSE |       calling _simulate_infield
2026-06-05 14:13:27,981 | VERBOSE |     END simulate_infield
2026-06-05 14:13:27,981 | VERBOSE |     BEGIN get_bmp_cost cps=590
2026-06-05 14:13:27,981 | VERBOSE |       calling _get_bmp_cost
2026-06-05 14:13:27,985 | VERBOSE |       sampled cost rate 63.8798 for cps=590, unit=usd/ha
