2026-05-18 10:54:53,489 [DEBUG] Logger initialized
2026-05-18 10:54:53,489 [INFO] Starting model run
2026-05-18 10:54:53,489 [INFO] Config: C:\Users\GEVENSON\Data\bmp\basin-bmp-sim\examples\east_fork.yaml
2026-05-18 10:54:53,489 [INFO] Logging to: outputs\log_20260518_105453.txt
2026-05-18 10:54:53,798 [DEBUG] Sampled value 14514.1 from stats={'min': np.int64(5000), 'max': np.int64(30000), 'mean': np.int64(15000), 'p50': np.int64(15000)} kind=None low=None high=None
2026-05-18 10:54:53,823 [INFO] Scenario 2/3
2026-05-18 10:54:53,826 [DEBUG] Sampled value 9.53819 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,829 [DEBUG] Sampled value 3.01888 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,831 [DEBUG] Sampled value 137.43 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,834 [DEBUG] Sampled value 24.9803 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,836 [DEBUG] Sampled value 3.20159 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,839 [DEBUG] Sampled value 112.473 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,842 [DEBUG] Sampled value 24.9678 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,844 [DEBUG] Sampled value 3.82859 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,846 [DEBUG] Sampled value 127.496 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,848 [DEBUG] Sampled value 10.7666 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,850 [DEBUG] Sampled value 3.09497 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,852 [DEBUG] Sampled value 77.9505 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '15０.０', 'p50': '15０.０'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,854 [DEBUG] Sampled value 8.99816 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
